# DES Document 5847-v1
# Asahi measured area-weighted response [u filter], for the other filters, area-weighted response [in pass band], witness sample measurements [out of pass band]
# wavelength(nm), DECam-u, DES-g, DES-r, DES-i, DES-z, DES-Y
500,0.00040514,90.79928276,0.00010369,0.00654740,0.00175342,0.00144106
501,0.00036876,90.93379310,0.00004360,0.00275111,0.00193574,0.00213018
502,0.00039959,90.97737931,0.00011926,0.00217489,0.00186771,0.00199478
503,0.00042903,90.98694138,0.00025994,0.00198084,0.00179159,0.00100917
504,0.00039417,90.99912069,0.00032886,0.00198338,0.00177096,0.00054495
505,0.00038341,91.02797586,0.00029605,0.00201095,0.00176485,0.00038394
506,0.00029441,91.06998276,0.00019276,0.00209053,0.00169030,0.00036387
507,0.00040334,91.10912414,0.00031550,0.00228230,0.00184240,0.00016928
508,0.00050707,91.12926207,0.00030776,0.00274985,0.00178589,0.00008540
509,0.00041800,91.10874828,0.00021006,0.00294604,0.00198147,0.00020149
510,0.00029634,91.01865172,0.00017446,0.00317378,0.00218827,0.00024492
511,0.00052152,90.83905517,0.00031103,0.00300047,0.00197797,0.00025950
512,0.00063634,90.58448621,0.00017816,0.00316867,0.00199512,0.00027821
513,0.00081262,90.32511724,0.00001290,0.00303433,0.00185643,0.00008820
514,0.00079648,90.16713793,0.00012467,0.00290581,0.00197014,0.00039346
515,0.00067621,90.17557586,-0.00005080,0.00276501,0.00221701,0.00019114
516,0.00054552,90.34006552,0.00010614,0.00240518,0.00235766,0.00023054
517,0.00040541,90.57765172,0.00016630,0.00227454,0.00223645,0.00016609
518,0.00043283,90.78035172,0.00018389,0.00221060,0.00253340,0.00013406
519,0.00044741,90.89528621,0.00038581,0.00244035,0.00266102,0.00032641
520,0.00065465,90.93276897,0.00006160,0.00241187,0.00317026,0.00012250
521,0.00064024,90.94543103,0.00008980,0.00292063,0.00353836,0.00012388
522,0.00066562,90.99393448,0.00029084,0.00315999,0.00373803,0.00011214
523,0.00063103,91.11501379,0.00012507,0.00322706,0.00361351,0.00013391
524,0.00072938,91.28736207,0.00021059,0.00287697,0.00337024,0.00027535
525,0.00078190,91.46653448,0.00038040,0.00248312,0.00272628,0.00038649
526,0.00086372,91.59938276,0.00035250,0.00247140,0.00225114,0.00066208
527,0.00083459,91.64650000,0.00035024,0.00300538,0.00208499,0.00086493
528,0.00078559,91.61121034,0.00039788,0.00319258,0.00202319,0.00129900
529,0.00087100,91.52126552,0.00030166,0.00316060,0.00193816,0.00220021
530,0.00073469,91.41046897,0.00039911,0.00278570,0.00192146,0.00244576
531,0.00061865,91.30928276,0.00053481,0.00244284,0.00185505,0.00153325
532,0.00055097,91.23495862,0.00029628,0.00239946,0.00182721,0.00067826
533,0.00051493,91.18558276,0.00029297,0.00261014,0.00202891,0.00057832
534,0.00052759,91.17791034,0.00034693,0.00303268,0.00234360,0.00048625
535,0.00047114,91.21118276,0.00027167,0.00331278,0.00229022,0.00067539
536,0.00075286,91.22180345,0.00035735,0.00313362,0.00266816,0.00078741
537,0.00069472,91.09017931,0.00038995,0.00258605,0.00365973,0.00113569
538,0.00074948,90.68825862,0.00038400,0.00211027,0.00396693,0.00100902
539,0.00085155,90.03992414,0.00031224,0.00192547,0.00342678,0.00079829
540,0.00079135,89.33193448,0.00038342,0.00187050,0.00270025,0.00065722
541,0.00063872,88.77675862,0.00038890,0.00187251,0.00222284,0.00038571
542,0.00085859,88.50789310,0.00048896,0.00192834,0.00228749,0.00028740
543,0.00084248,88.42254138,0.00053069,0.00186315,0.00237568,0.00030599
544,0.00079135,87.78867586,0.00044290,0.00204199,0.00240497,0.00044008
545,0.00080407,84.20556552,0.00048144,0.00248941,0.00241926,0.00038434
546,0.00082072,76.08444138,0.00055689,0.00269679,0.00265767,0.00041323
547,0.00089862,63.66705862,0.00055918,0.00265815,0.00243815,0.00013631
548,0.00091869,48.93305172,0.00065536,0.00236074,0.00254192,0.00019548
549,0.00079497,33.56917241,0.00086449,0.00193927,0.00226551,0.00034004
550,0.00097310,19.97440345,0.00120109,0.00184995,0.00214540,0.00023853
551,0.00097321,10.40014862,0.00165092,0.00191560,0.00225190,0.00070281
552,0.00089717,5.28181483,0.00232810,0.00178712,0.00224761,0.00130232
553,0.00082610,3.04963931,0.00340530,0.00174848,0.00216961,0.00188628
554,0.00068766,1.99418862,0.00546306,0.00170167,0.00190500,0.00166935
555,0.00070403,1.47255379,0.00925134,0.00177987,0.00206420,0.00100029
556,0.00074600,0.06147254,0.01617856,0.00178350,0.00200546,0.00118263
557,0.00063117,0.03459481,0.02935513,0.00176079,0.00208441,0.00238494
558,0.00071497,0.02158480,0.05542036,0.00239009,0.00220278,0.00414710
559,0.00091862,0.01479393,0.10773507,0.00329291,0.00194444,0.00410045
560,0.00087503,0.01078282,0.21847904,0.00336166,0.00204787,0.00280682
561,0.00082790,0.00800601,0.46435577,0.00239371,0.00202185,0.00196097
562,0.00061841,0.00567709,1.04065681,0.00179073,0.00193646,0.00191153
563,0.00077503,0.00397760,5.02462586,0.00176991,0.00188857,0.00222267
564,0.00108079,0.00251106,9.64487552,0.00169628,0.00180061,0.00223220
565,0.00117338,0.00157500,17.77633828,0.00180175,0.00210820,0.00170691
566,0.00073131,0.00126987,29.44712759,0.00166358,0.00209019,0.00120756
567,0.00033838,0.00078902,43.28254828,0.00180708,0.00273612,0.00045469
568,0.00037659,0.00075385,57.24347586,0.00166796,0.00484548,0.00041558
569,0.00030924,0.00056770,69.62389655,0.00183286,0.01315236,0.00015632
570,0.00037100,0.00071679,78.96102414,0.00171235,0.02107118,0.00021098
571,0.00035100,0.00061423,84.51206552,0.00167932,0.01572049,0.00037720
572,0.00039659,0.00065270,86.98995862,0.00171104,0.00540595,0.00040612
573,0.00037476,0.00055750,87.85992069,0.00168864,0.00207618,0.00045889
574,0.00030907,0.00038861,88.31802759,0.00186651,0.00161317,0.00050524
575,0.00059269,0.00038132,88.62942069,0.00206718,0.00179939,0.00060254
576,0.00118938,0.00051583,88.86687241,0.00201949,0.00184910,0.00056853
577,0.00111272,0.00014974,89.05505172,0.00169979,0.00191312,0.00052220
578,0.00057828,0.00022873,89.21154483,0.00171220,0.00195537,0.00015955
579,0.00020914,0.00022604,89.35936897,0.00162860,0.00191393,0.00029335
580,0.00024003,0.00029435,89.51229655,0.00178920,0.00184341,0.00052399
581,0.00030197,0.00026869,89.68926897,0.00164050,0.00188059,0.00047374
582,0.00032907,0.00023575,89.88398966,0.00162547,0.00207764,0.00017086
583,0.00031990,0.00018236,90.06247241,0.00160471,0.00187312,0.00015791
584,0.00024907,0.00013216,90.17368621,0.00169476,0.00186459,0.00029815
585,0.00042724,0.00032242,90.17257586,0.00159510,0.00164213,0.00034234
586,0.00028903,0.00026794,90.05232069,0.00155968,0.00193582,0.00033939
587,0.00030724,0.00036181,89.85622414,0.00180405,0.00172551,0.00035689
588,0.00028724,0.00011542,89.64596552,0.00154343,0.00177848,0.00065897
589,0.00037083,0.00033053,89.48221034,0.00173086,0.00180405,0.00051575
590,0.00055790,0.00013898,89.43586897,0.00183883,0.00173591,0.00054802
591,0.00082152,0.00016005,89.50094483,0.00164719,0.00231311,0.00062138
592,0.00055600,0.00024523,89.64693793,0.00177433,0.00224933,0.00090430
593,0.00029272,0.00034296,89.81586207,0.00152947,0.00248244,0.00138953
594,0.00029438,0.00018039,89.94307586,0.00174755,0.00195244,0.00264160
595,0.00033624,0.00026412,89.98977241,0.00156810,0.00206419,0.00476528
596,0.00030352,0.00011218,89.98456897,0.00162471,0.00179483,0.00546608
597,0.00037793,0.00025558,89.95856207,0.00146970,0.00180221,0.00340058
598,0.00041048,0.00018682,89.95397931,0.00154893,0.00160210,0.00147229
599,0.00031076,-0.00005990,90.00658966,0.00162948,0.00194987,0.00076549
600,0.00030886,-0.00000292,90.11700000,0.00156295,0.00191049,0.00055812
601,0.00036700,0.00009060,90.24140345,0.00171658,0.00192431,0.00038404
602,0.00034335,0.00009490,90.34736897,0.00155568,0.00192429,0.00052904
603,0.00032521,-0.00006120,90.41887241,0.00163926,0.00212068,0.00032921
604,0.00038517,0.00005260,90.44844483,0.00146278,0.00156973,0.00031190
605,0.00046486,0.00010725,90.42134828,0.00172094,0.00176000,0.00016773
606,0.00061938,-0.00002220,90.35553448,0.00156813,0.00191263,0.00034777
607,0.00052845,0.00017958,90.25151379,0.00161014,0.00209145,0.00024752
608,0.00032145,0.00019946,90.14195862,0.00167948,0.00239155,0.00023400
609,0.00039941,0.00018261,90.07835862,0.00173487,0.00237130,0.00034012
610,0.00039031,0.00025259,90.09394483,0.00170429,0.00239888,0.00010624
611,0.00038666,0.00021653,90.19052069,0.00158213,0.00227079,0.00001600
612,0.00033966,0.00012324,90.34961379,0.00160053,0.00244284,-0.00006610
613,0.00046655,0.00008750,90.52041034,0.00172972,0.00212417,0.00004940
614,0.00043028,0.00006460,90.65736897,0.00160963,0.00198067,-0.00003230
615,0.00032131,0.00019686,90.76070000,0.00172544,0.00162866,-0.00011098
616,0.00026321,-0.00001320,90.80939310,0.00158062,0.00169277,0.00006940
617,0.00030676,-0.00000042,90.83064138,0.00158829,0.00163885,0.00005390
618,0.00039197,0.00013299,90.82023793,0.00165345,0.00171411,0.00041545
619,0.00044641,0.00006320,90.77286552,0.00165247,0.00181742,0.00070730
620,0.00030835,0.00013862,90.72429655,0.00163369,0.00186295,0.00113113
621,0.00033021,0.00007310,90.68452414,0.00160194,0.00183307,0.00099289
622,0.00037010,0.00005810,90.66027586,0.00156900,0.00199815,0.00061484
623,0.00040641,0.00017849,90.65473793,0.00150477,0.00201773,0.00029884
624,0.00029748,0.00004300,90.66573448,0.00144895,0.00207069,0.00014667
625,0.00038445,0.00009440,90.68538966,0.00169537,0.00204334,0.00014760
626,0.00045355,0.00002070,90.71123103,0.00169068,0.00190486,-0.00001290
627,0.00041883,0.00006290,90.73680000,0.00158073,0.00180562,0.00030562
628,0.00041159,0.00000855,90.76831724,0.00158460,0.00193233,0.00010627
629,0.00038076,0.00012618,90.80968966,0.00154826,0.00191367,0.00012940
630,0.00039155,0.00004580,90.84752414,0.00163914,0.00197130,0.00010967
631,0.00033545,-0.00001840,90.85881034,0.00152161,0.00187458,0.00020849
632,0.00048207,0.00007040,90.83367241,0.00155102,0.00179707,0.00027652
633,0.00027910,-0.00003550,90.79439655,0.00150476,0.00166981,0.00026386
634,0.00043662,0.00012258,90.77531724,0.00164343,0.00193177,0.00046845
635,0.00034610,0.00011675,90.79726207,0.00156781,0.00182287,0.00031123
636,0.00031710,-0.00002410,90.85084138,0.00143019,0.00179644,0.00032190
637,0.00032438,-0.00003300,90.92922414,0.00162311,0.00195058,0.00016053
638,0.00043855,0.00006690,91.00538276,0.00159850,0.00174420,0.00029667
639,0.00042403,-0.00007960,91.05300345,0.00169699,0.00168729,0.00043601
640,0.00044007,0.00012517,91.06507931,0.00155565,0.00142519,0.00152971
641,0.00041834,0.00000737,91.04354828,0.00159124,0.00129406,0.00405949
642,0.00032238,-0.00006340,90.98519310,0.00152222,0.00168842,0.00588070
643,0.00034393,-0.00021007,90.89669310,0.00151650,0.00151589,0.00569870
644,0.00047269,-0.00002890,90.79056897,0.00148259,0.00149034,0.00433060
645,0.00051590,0.00003430,90.67959310,0.00165024,0.00158938,0.00382830
646,0.00045972,0.00007700,90.57593103,0.00163305,0.00178066,0.00310695
647,0.00046879,-0.00005720,90.49120000,0.00158889,0.00211211,0.00207076
648,0.00039990,0.00010901,90.43249310,0.00161430,0.00241098,0.00108677
649,0.00038910,0.00009350,90.39543793,0.00153695,0.00323327,0.00089648
650,0.00035283,0.00019140,90.36687931,0.00166403,0.00327085,0.00045381
651,0.00040334,-0.00004300,90.35856207,0.00163225,0.00262149,0.00055689
652,0.00041959,0.00001090,90.38207586,0.00160460,0.00187014,0.00048268
653,0.00049910,0.00002260,90.45549655,0.00172719,0.00150694,0.00031365
654,0.00048641,0.00002460,90.57683793,0.00171692,0.00160380,0.00041602
655,0.00043935,-0.00003670,90.71334483,0.00163574,0.00163057,0.00066722
